pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist,exo_class,exo_class_ext
Kepler-872 b,Kepler-872,1,1,2.57885507,0.0362,1.99,4.62,3.22,0.0,5902.0,1.05,0.04,879.683,Super-Earth,Super-Earth
Kepler-873 b,Kepler-873,1,1,20.5533844,0.1542,3.75,13.5,1.41,0.0,6163.0,1.18,0.07,1182.22,Neptune-like,Neptune-like
Kepler-874 b,Kepler-874,1,1,40.0686727,0.2234,3.94,14.7,1.32,0.0,6020.0,1.09,0.03,1082.16,Neptune-like,Neptune-like
Kepler-875 b,Kepler-875,1,1,27.5073799,0.1771,2.9,8.75,1.97,0.0,5958.0,1.06,0.03,1242.62,Neptune-like,Neptune-like
Kepler-876 b,Kepler-876,1,1,5.14438011,0.0549,1.43,2.63,4.94,0.0,5060.0,0.81,-0.03,820.913,Super-Earth,Super-Earth
Kepler-877 b,Kepler-877,1,1,18.45847097,0.1301,2.12,5.14,2.96,0.0,5261.0,0.85,-0.06,602.176,Super-Earth,Super-Earth
Kepler-878 b,Kepler-878,1,1,25.9422033,0.165,1.93,4.38,3.35,0.0,5044.0,0.81,-0.03,791.625,Super-Earth,Super-Earth
Kepler-879 b,Kepler-879,1,1,33.3855938,0.2012,2.57,7.13,2.31,0.0,5792.0,1.02,0.05,802.672,Neptune-like,Neptune-like
Kepler-88 d,KOI-142,1,3,1403.0,,13.1,965.147,2.36,0.41,5466.0,0.99,0.27,376.863,Gas giant,Gas giant
Kepler-880 b,Kepler-880,1,1,7.71468975,0.0915,2.66,7.56,2.21,0.0,6761.0,1.46,0.03,601.324,Neptune-like,Neptune-like
Kepler-881 b,Kepler-881,1,1,4.44448017,0.0552,1.78,3.82,3.72,0.0,5961.0,1.06,0.0,1375.18,Super-Earth,Super-Earth
Kepler-882 b,Kepler-882,1,1,3.98953967,0.0449,1.23,2.04,6.02,0.0,5476.0,0.9,-0.03,504.605,Super-Earth,Super-Earth
Kepler-883 b,Kepler-883,1,1,12.98495573,0.1055,1.78,3.82,3.72,0.0,6116.0,1.06,-0.13,627.455,Super-Earth,Super-Earth
Kepler-884 b,Kepler-884,1,1,5.69919514,0.0622,1.23,2.04,6.02,0.0,5715.0,1.0,0.05,476.733,Super-Earth,Super-Earth
Kepler-885 b,Kepler-885,1,1,18.11472949,0.1432,2.5,6.8,2.39,0.0,6187.0,1.21,0.11,651.318,Neptune-like,Neptune-like
